City_/_Town_(Receiving_Water),Applicant_/_Facility_Name,Permit_Number,Date_of_Issuance,City/Town,Facility_Name,Facility_name_clean,Permit_URL,Stage,State,Watershed,City_/_Town,Comment_Period_Dates
Windsor (Farmington and Rainbow Brook(s)),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0003441permit-2009.pdf'>Windsor-Stevens, Inc.  (pdf)</a> <span class='document__meta'>(128 KB)</span>",CT0003441,06/11/2009,Windsor,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0003441permit-2009.pdf'>Windsor-Stevens, Inc.  (pdf)</a> <span class='document__meta'>(128 KB)</span>","Windsor-Stevens, Inc.  (pdf) (128 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0003441permit-2009.pdf'],final,ct,Farmington and Rainbow Broo,,
"Windsor Locks (Connecticut River (CT4000-00_03), Windsor Locks Canal (Man-made canal that is diverted from Connecticut River), Kettle Brook (CT4000-09_01))","<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0000434permit-2024.pdf'>Ahlstrom Nonwovens, LLC (pdf)</a> <span class='document__meta'>(2.8 MB)</span>",CT0000434,01/04/2024,Windsor Locks,"<a href='https://www.epa.gov/system/files/documents/2025-06/finalct0000434permit-2024.pdf'>Ahlstrom Nonwovens, LLC (pdf)</a> <span class='document__meta'>(2.8 MB)</span>","Ahlstrom Nonwovens, LLC (pdf) (2.8 MB)",['https://www.epa.gov/system/files/documents/2025-06/finalct0000434permit-2024.pdf'],final,ct,Connecticut River,,
Windsor Locks (Connecticut River),"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0000434permit-2009.pdf'>Ahlstrom Nonwovens, LLC (pdf)</a> <span class='document__meta'>(185 KB)</span>",CT0000434,09/24/2009,Windsor Locks,"<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0000434permit-2009.pdf'>Ahlstrom Nonwovens, LLC (pdf)</a> <span class='document__meta'>(185 KB)</span>","Ahlstrom Nonwovens, LLC (pdf) (185 KB)",['https://www.epa.gov/system/files/documents/2025-08/finalct0000434permit-2009.pdf'],final,ct,Connecticut River,,
Windsor Locks (Connecticut River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101591permit-2018.pdf'>Windsor Locks <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0101591,08/22/2018,Windsor Locks,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101591permit-2018.pdf'>Windsor Locks <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Windsor Locks WPCF, Town of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0101591permit-2018.pdf'],final,ct,Connecticut River,,
Windsor Locks (Connecticut River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0101591permit-2005.pdf'>Windsor Locks <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(883 KB)</span>",CT0101591,09/09/2005,Windsor Locks,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0101591permit-2005.pdf'>Windsor Locks <abbr title='Water Pollution Control Facility'>WPCF</abbr>, Town of (pdf)</a> <span class='document__meta'>(883 KB)</span>","Windsor Locks WPCF, Town of (pdf) (883 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0101591permit-2005.pdf'],final,ct,Connecticut River,,
Winsted (Still River),"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101222permit-2016.pdf'>Winchester, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>",CT0101222,10/06/2016,Winsted,"<a href='https://www.epa.gov/system/files/documents/2025-07/finalct0101222permit-2016.pdf'>Winchester, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>","Winchester, Town of (pdf) (1.1 MB)",['https://www.epa.gov/system/files/documents/2025-07/finalct0101222permit-2016.pdf'],final,ct,Still River,,
Winsted (Still River),"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0101222permit-2005.pdf'>Winchester, Town of (pdf)</a> <span class='document__meta'>(944 KB)</span>",CT0101222,10/18/2005,Winsted,"<a href='https://www.epa.gov/system/files/documents/2025-09/finalct0101222permit-2005.pdf'>Winchester, Town of (pdf)</a> <span class='document__meta'>(944 KB)</span>","Winchester, Town of (pdf) (944 KB)",['https://www.epa.gov/system/files/documents/2025-09/finalct0101222permit-2005.pdf'],final,ct,Still River,,
Woodstock (May Brook),<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0021504permit-2009.pdf'>Rogers Corporation (pdf)</a> <span class='document__meta'>(114 KB)</span>,CT0021504,02/23/2009,Woodstock,<a href='https://www.epa.gov/system/files/documents/2025-08/finalct0021504permit-2009.pdf'>Rogers Corporation (pdf)</a> <span class='document__meta'>(114 KB)</span>,Rogers Corporation (pdf) (114 KB),['https://www.epa.gov/system/files/documents/2025-08/finalct0021504permit-2009.pdf'],final,ct,May Brook,,
,<a href='https://www.epa.gov/ct/draft-permit-pfizer-inc-groton-ct-ct0000957'>Pfizer Inc</a>,CT0000957,,Groton,<a href='https://www.epa.gov/ct/draft-permit-pfizer-inc-groton-ct-ct0000957'>Pfizer Inc</a>,Pfizer Inc,['https://www.epa.gov/ct/draft-permit-pfizer-inc-groton-ct-ct0000957'],draft,ct,,Groton,02/04/2026 - 03/03/2026
,<a href='https://www.epa.gov/ct/draft-uic-permit-regional-district-no-6-prospect-elementary-school-prospect-ct-ui0000502'>Regional District No. 6 Prospect Elementary School</a>,UI0000502,,Prospect,<a href='https://www.epa.gov/ct/draft-uic-permit-regional-district-no-6-prospect-elementary-school-prospect-ct-ui0000502'>Regional District No. 6 Prospect Elementary School</a>,Regional District No. 6 Prospect Elementary School,['https://www.epa.gov/ct/draft-uic-permit-regional-district-no-6-prospect-elementary-school-prospect-ct-ui0000502'],draft,ct,,Prospect,01/06/2026 - 02/05/2026
,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0101061permit-2025.pdf'>Beacon Falls, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>",CT0101061,,Beacon Falls,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0101061permit-2025.pdf'>Beacon Falls, Town of (pdf)</a> <span class='document__meta'>(1.1 MB)</span>","Beacon Falls, Town of (pdf) (1.1 MB)",['https://www.epa.gov/system/files/documents/2025-12/draftct0101061permit-2025.pdf'],draft,ct,,Beacon Falls,12/24/2025 - 01/23/2026
,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0100145permitmod-2025.pdf'>Danbury, City of (Modification) (pdf)</a> <span class='document__meta'>(1.5 MB)</span>",CT0100145,,Danbury,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0100145permitmod-2025.pdf'>Danbury, City of (Modification) (pdf)</a> <span class='document__meta'>(1.5 MB)</span>","Danbury, City of (Modification) (pdf) (1.5 MB)",['https://www.epa.gov/system/files/documents/2025-12/draftct0100145permitmod-2025.pdf'],draft,ct,,Danbury,12/22/2025 - 01/21/2026
,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0030473permit-2025.pdf'>Plainfield Renewable Energy, LLC (pdf)</a> <span class='document__meta'>(2.6 MB)</span>",CT0030473,,Plainfield,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftct0030473permit-2025.pdf'>Plainfield Renewable Energy, LLC (pdf)</a> <span class='document__meta'>(2.6 MB)</span>","Plainfield Renewable Energy, LLC (pdf) (2.6 MB)",['https://www.epa.gov/system/files/documents/2025-12/draftct0030473permit-2025.pdf'],draft,ct,,Plainfield,12/08/2025 - 01/08/2026
,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftctcafo007permit-2025.pdf'>Graywall Farms, LLC (pdf)</a> <span class='document__meta'>(757 KB)</span>",CTCAFO007,,Lebanon,"<a href='https://www.epa.gov/system/files/documents/2025-12/draftctcafo007permit-2025.pdf'>Graywall Farms, LLC (pdf)</a> <span class='document__meta'>(757 KB)</span>","Graywall Farms, LLC (pdf) (757 KB)",['https://www.epa.gov/system/files/documents/2025-12/draftctcafo007permit-2025.pdf'],draft,ct,,Lebanon,11/24/2025 - 12/23/2025
,<a href='https://www.epa.gov/system/files/documents/2025-10/draftct0030287permit-2025.pdf'>FirstLight Rocky River Station (pdf)</a> <span class='document__meta'>(2 MB)</span>,CT0030287,,New Milford,<a href='https://www.epa.gov/system/files/documents/2025-10/draftct0030287permit-2025.pdf'>FirstLight Rocky River Station (pdf)</a> <span class='document__meta'>(2 MB)</span>,FirstLight Rocky River Station (pdf) (2 MB),['https://www.epa.gov/system/files/documents/2025-10/draftct0030287permit-2025.pdf'],draft,ct,,New Milford,10/08/2025 - 11/07/2025
,<a href='https://www.epa.gov/system/files/documents/2025-09/draftui0000458permit-2025.pdf'>The Guilford House (pdf)</a> <span class='document__meta'>(2.6 MB)</span>,UI0000458,,Guilford,<a href='https://www.epa.gov/system/files/documents/2025-09/draftui0000458permit-2025.pdf'>The Guilford House (pdf)</a> <span class='document__meta'>(2.6 MB)</span>,The Guilford House (pdf) (2.6 MB),['https://www.epa.gov/system/files/documents/2025-09/draftui0000458permit-2025.pdf'],draft,ct,,Guilford,09/22/2025 - 10/21/2025
,<a href='https://www.epa.gov/system/files/documents/2025-09/draftct0029530permit-2025.pdf'>TA Operating LLC - Willington Travel Center (pdf)</a> <span class='document__meta'>(3.1 MB)</span>,CT0029530,,Willington,<a href='https://www.epa.gov/system/files/documents/2025-09/draftct0029530permit-2025.pdf'>TA Operating LLC - Willington Travel Center (pdf)</a> <span class='document__meta'>(3.1 MB)</span>,TA Operating LLC - Willington Travel Center (pdf) (3.1 MB),['https://www.epa.gov/system/files/documents/2025-09/draftct0029530permit-2025.pdf'],draft,ct,,Willington,09/18/2025 - 10/17/2025
,<a href='https://www.epa.gov/system/files/documents/2025-09/draftui0000360permit-2025.pdf'>Julia Tate Properties LLC - Hilton Garden Inn (pdf)</a> <span class='document__meta'>(2.6 MB)</span>,UI0000360,,Preston,<a href='https://www.epa.gov/system/files/documents/2025-09/draftui0000360permit-2025.pdf'>Julia Tate Properties LLC - Hilton Garden Inn (pdf)</a> <span class='document__meta'>(2.6 MB)</span>,Julia Tate Properties LLC - Hilton Garden Inn (pdf) (2.6 MB),['https://www.epa.gov/system/files/documents/2025-09/draftui0000360permit-2025.pdf'],draft,ct,,Preston,08/28/2025 - 09/27/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-06/draftct0002127permit-2025.pdf'>Dunn Paper - East Hartford, LLC (pdf)</a> <span class='document__meta'>(2.3 MB)</span>",CT0002127,,East Hartford,"<a href='https://www.epa.gov/system/files/documents/2025-06/draftct0002127permit-2025.pdf'>Dunn Paper - East Hartford, LLC (pdf)</a> <span class='document__meta'>(2.3 MB)</span>","Dunn Paper - East Hartford, LLC (pdf) (2.3 MB)",['https://www.epa.gov/system/files/documents/2025-06/draftct0002127permit-2025.pdf'],draft,ct,,East Hartford,06/17/2025 - 07/16/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftui0000157permit-2025.pdf'>Old Saybrook Associates, LLC - Old Saybrook Shopping Plaza (pdf)</a> <span class='document__meta'>(2.7 MB)</span>",UI0000157,,Old Saybrook,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftui0000157permit-2025.pdf'>Old Saybrook Associates, LLC - Old Saybrook Shopping Plaza (pdf)</a> <span class='document__meta'>(2.7 MB)</span>","Old Saybrook Associates, LLC - Old Saybrook Shopping Plaza (pdf) (2.7 MB)",['https://www.epa.gov/system/files/documents/2025-05/draftui0000157permit-2025.pdf'],draft,ct,,Old Saybrook,05/21/2025 - 06/20/2025
,<a href='https://www.epa.gov/system/files/documents/2025-05/draftui0000325permit-2025.pdf'>YMCA of Metropolitan Hartford Inc. - Camp Jewell YMCA (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,UI0000345,,Colebrook,<a href='https://www.epa.gov/system/files/documents/2025-05/draftui0000325permit-2025.pdf'>YMCA of Metropolitan Hartford Inc. - Camp Jewell YMCA (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,YMCA of Metropolitan Hartford Inc. - Camp Jewell YMCA (pdf) (1.2 MB),['https://www.epa.gov/system/files/documents/2025-05/draftui0000325permit-2025.pdf'],draft,ct,,Colebrook,05/01/2025 - 06/01/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftct0003379permit-2025.pdf'>Sumitomo Bakelite North America, Inc. (pdf)</a> <span class='document__meta'>(2.1 MB)</span>",CT0003379,,Manchester,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftct0003379permit-2025.pdf'>Sumitomo Bakelite North America, Inc. (pdf)</a> <span class='document__meta'>(2.1 MB)</span>","Sumitomo Bakelite North America, Inc. (pdf) (2.1 MB)",['https://www.epa.gov/system/files/documents/2025-05/draftct0003379permit-2025.pdf'],draft,ct,,Manchester,04/29/2025 - 05/29/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftct0000841permit-2025.pdf'>King Industries, Inc. (pdf)</a> <span class='document__meta'>(2.7 MB)</span>",CT0000841,,Norwalk,"<a href='https://www.epa.gov/system/files/documents/2025-05/draftct0000841permit-2025.pdf'>King Industries, Inc. (pdf)</a> <span class='document__meta'>(2.7 MB)</span>","King Industries, Inc. (pdf) (2.7 MB)",['https://www.epa.gov/system/files/documents/2025-05/draftct0000841permit-2025.pdf'],draft,ct,,Norwalk,04/29/2025 - 05/29/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-04/draftct0030333permit-2025.pdf'>The Thames Shipyard and Repair Company, Inc. (pdf)</a> <span class='document__meta'>(2.7 MB)</span>",CT0030333,,New London,"<a href='https://www.epa.gov/system/files/documents/2025-04/draftct0030333permit-2025.pdf'>The Thames Shipyard and Repair Company, Inc. (pdf)</a> <span class='document__meta'>(2.7 MB)</span>","The Thames Shipyard and Repair Company, Inc. (pdf) (2.7 MB)",['https://www.epa.gov/system/files/documents/2025-04/draftct0030333permit-2025.pdf'],draft,ct,,New London,04/25/2025 - 05/25/2025
,<a href='https://www.epa.gov/system/files/documents/2025-03/draftui0000185permit-2025.pdf'>Woodlake Tax District Sewer Treatment Plant (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,UI0000185,,Woodbury,<a href='https://www.epa.gov/system/files/documents/2025-03/draftui0000185permit-2025.pdf'>Woodlake Tax District Sewer Treatment Plant (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,Woodlake Tax District Sewer Treatment Plant (pdf) (1.3 MB),['https://www.epa.gov/system/files/documents/2025-03/draftui0000185permit-2025.pdf'],draft,ct,,Woodbury,03/06/2025 - 04/05/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-03/draftct0100412permit-2025.pdf'>Norwich WPCF, City of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>",CT0100412,,Norwich,"<a href='https://www.epa.gov/system/files/documents/2025-03/draftct0100412permit-2025.pdf'>Norwich WPCF, City of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>","Norwich WPCF, City of (pdf) (1.4 MB)",['https://www.epa.gov/system/files/documents/2025-03/draftct0100412permit-2025.pdf'],draft,ct,,Norwich,03/04/2025 - 04/03/2025
,<a href='https://www.epa.gov/system/files/documents/2025-03/draftct0030821permit-2025.pdf'>Firstlight Housatonic Stevenson Station (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,CT0030821,,Monroe,<a href='https://www.epa.gov/system/files/documents/2025-03/draftct0030821permit-2025.pdf'>Firstlight Housatonic Stevenson Station (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,Firstlight Housatonic Stevenson Station (pdf) (1.3 MB),['https://www.epa.gov/system/files/documents/2025-03/draftct0030821permit-2025.pdf'],draft,ct,,Monroe,03/04/2025 - 04/03/2025
,<a href='https://www.epa.gov/system/files/documents/2025-02/draftui0000273permit-2025.pdf'>34 Wildwood Ave Opco LLC -  Autumn Lake Health Care at Madison (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,UI0000273,,Madison,<a href='https://www.epa.gov/system/files/documents/2025-02/draftui0000273permit-2025.pdf'>34 Wildwood Ave Opco LLC -  Autumn Lake Health Care at Madison (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,34 Wildwood Ave Opco LLC -  Autumn Lake Health Care at Madison (pdf) (1.2 MB),['https://www.epa.gov/system/files/documents/2025-02/draftui0000273permit-2025.pdf'],draft,ct,,Madison,02/25/2025 - 03/27/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-02/draftct0100749permit-2025.pdf'>Milford, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",CT0100749,,Milford,"<a href='https://www.epa.gov/system/files/documents/2025-02/draftct0100749permit-2025.pdf'>Milford, City of (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Milford, City of (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2025-02/draftct0100749permit-2025.pdf'],draft,ct,,Milford,02/17/2025 - 03/18/2025
,"<a href='https://www.epa.gov/system/files/documents/2025-01/draftct0100510permit-2025.pdf'>South Windsor, Town of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>",CT0100510,,South Windsor,"<a href='https://www.epa.gov/system/files/documents/2025-01/draftct0100510permit-2025.pdf'>South Windsor, Town of (pdf)</a> <span class='document__meta'>(1.4 MB)</span>","South Windsor, Town of (pdf) (1.4 MB)",['https://www.epa.gov/system/files/documents/2025-01/draftct0100510permit-2025.pdf'],draft,ct,,South Windsor,12/26/2024 - 01/24/2025
,<a href='https://www.epa.gov/system/files/documents/2024-12/draftui0000405permit-2024.pdf'>Regional School  District 7 - Haddam-Killingworth Middle School (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,UI0000405,,Killingworth,<a href='https://www.epa.gov/system/files/documents/2024-12/draftui0000405permit-2024.pdf'>Regional School  District 7 - Haddam-Killingworth Middle School (pdf)</a> <span class='document__meta'>(1.2 MB)</span>,Regional School  District 7 - Haddam-Killingworth Middle School (pdf) (1.2 MB),['https://www.epa.gov/system/files/documents/2024-12/draftui0000405permit-2024.pdf'],draft,ct,,Killingworth,12/10/2024 - 01/09/2025
,"<a href='https://www.epa.gov/system/files/documents/2024-12/draftui0000477permit-2024.pdf'>Hillandale Farms Conn, LLC (pdf)</a> <span class='document__meta'>(1.2 MB)</span>",UI0000477,,Franklin,"<a href='https://www.epa.gov/system/files/documents/2024-12/draftui0000477permit-2024.pdf'>Hillandale Farms Conn, LLC (pdf)</a> <span class='document__meta'>(1.2 MB)</span>","Hillandale Farms Conn, LLC (pdf) (1.2 MB)",['https://www.epa.gov/system/files/documents/2024-12/draftui0000477permit-2024.pdf'],draft,ct,,Franklin,12/02/2024 - 01/02/2025
,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0021873permit-2024.pdf'>Wieland Rolled Products North America LLC (pdf)</a> <span class='document__meta'>(2.7 MB)</span>,CT0021873,,Waterbury,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0021873permit-2024.pdf'>Wieland Rolled Products North America LLC (pdf)</a> <span class='document__meta'>(2.7 MB)</span>,Wieland Rolled Products North America LLC (pdf) (2.7 MB),['https://www.epa.gov/system/files/documents/2024-10/draftct0021873permit-2024.pdf'],draft,ct,,Waterbury,10/22/2024 - 11/21/2024
,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0000086permit-2024.pdf'>Allnex USA Inc (pdf)</a> <span class='document__meta'>(3.8 MB)</span>,CT0000086,,Wallingford,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0000086permit-2024.pdf'>Allnex USA Inc (pdf)</a> <span class='document__meta'>(3.8 MB)</span>,Allnex USA Inc (pdf) (3.8 MB),['https://www.epa.gov/system/files/documents/2024-10/draftct0000086permit-2024.pdf'],draft,ct,,Wallingford,10/04/2024 - 11/04/2024
,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0030815permit-2024.pdf'>FirstLight CT Hydro LLC-Taftville (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,CT0030815,,Taftville,<a href='https://www.epa.gov/system/files/documents/2024-10/draftct0030815permit-2024.pdf'>FirstLight CT Hydro LLC-Taftville (pdf)</a> <span class='document__meta'>(1.3 MB)</span>,FirstLight CT Hydro LLC-Taftville (pdf) (1.3 MB),['https://www.epa.gov/system/files/documents/2024-10/draftct0030815permit-2024.pdf'],draft,ct,,Taftville,10/03/2024 - 11/03/2024
,<a href='https://www.epa.gov/system/files/documents/2024-08/draftct0003824permit-2024.pdf'>Electric Boat Corporation (pdf)</a> <span class='document__meta'>(4 MB)</span>,CT0003824,,Groton,<a href='https://www.epa.gov/system/files/documents/2024-08/draftct0003824permit-2024.pdf'>Electric Boat Corporation (pdf)</a> <span class='document__meta'>(4 MB)</span>,Electric Boat Corporation (pdf) (4 MB),['https://www.epa.gov/system/files/documents/2024-08/draftct0003824permit-2024.pdf'],draft,ct,,Groton,08/01/2024 - 09/01/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-07/draftct0030818permit-2024.pdf'>Hytone Farm, LLC (pdf)</a> <span class='document__meta'>(789 KB)</span>",CT0030818,,Coventry,"<a href='https://www.epa.gov/system/files/documents/2024-07/draftct0030818permit-2024.pdf'>Hytone Farm, LLC (pdf)</a> <span class='document__meta'>(789 KB)</span>","Hytone Farm, LLC (pdf) (789 KB)",['https://www.epa.gov/system/files/documents/2024-07/draftct0030818permit-2024.pdf'],draft,ct,,Coventry,07/02/2024 - 08/02/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo001generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Schwartz Road (pdf)</a> <span class='document__meta'>(9.8 MB)</span>",CTCAFO001,,Bozrah,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo001generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Schwartz Road (pdf)</a> <span class='document__meta'>(9.8 MB)</span>","Hillandale Farms Conn, LLC - Schwartz Road (pdf) (9.8 MB)",['https://www.epa.gov/system/files/documents/2024-06/draftctcafo001generalpermit-2024.pdf'],draft,ct,,Bozrah,06/17/2024 - 07/17/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo002generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Under The Mountain Road (pdf)</a> <span class='document__meta'>(9.6 MB)</span>",CTCAFO002,,Franklin,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo002generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Under The Mountain Road (pdf)</a> <span class='document__meta'>(9.6 MB)</span>","Hillandale Farms Conn, LLC - Under The Mountain Road (pdf) (9.6 MB)",['https://www.epa.gov/system/files/documents/2024-06/draftctcafo002generalpermit-2024.pdf'],draft,ct,,Franklin,06/17/2024 - 07/17/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo003generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Brush Hill Road (pdf)</a> <span class='document__meta'>(8.7 MB)</span>",CTCAFO003,,Bozrah,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo003generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Brush Hill Road (pdf)</a> <span class='document__meta'>(8.7 MB)</span>","Hillandale Farms Conn, LLC - Brush Hill Road (pdf) (8.7 MB)",['https://www.epa.gov/system/files/documents/2024-06/draftctcafo003generalpermit-2024.pdf'],draft,ct,,Bozrah,06/17/2024 - 07/17/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo004generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Mack Road (pdf)</a> <span class='document__meta'>(19.6 MB)</span>",CTCAFO004,,Lebanon,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo004generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Mack Road (pdf)</a> <span class='document__meta'>(19.6 MB)</span>","Hillandale Farms Conn, LLC - Mack Road (pdf) (19.6 MB)",['https://www.epa.gov/system/files/documents/2024-06/draftctcafo004generalpermit-2024.pdf'],draft,ct,,Lebanon,06/17/2024 - 07/17/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo005generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Shailor Hill Road (pdf)</a> <span class='document__meta'>(15.8 MB)</span>",CTCAFO005,,Colchester,"<a href='https://www.epa.gov/system/files/documents/2024-06/draftctcafo005generalpermit-2024.pdf'>Hillandale Farms Conn, LLC - Shailor Hill Road (pdf)</a> <span class='document__meta'>(15.8 MB)</span>","Hillandale Farms Conn, LLC - Shailor Hill Road (pdf) (15.8 MB)",['https://www.epa.gov/system/files/documents/2024-06/draftctcafo005generalpermit-2024.pdf'],draft,ct,,Colchester,06/13/2024 - 07/13/2024
,<a href='https://www.epa.gov/system/files/documents/2024-06/draftct0030812permit-2024.pdf'>FirstLight CT Hydro LLC - Robertsville Generating Station (pdf)</a> <span class='document__meta'>(1.4 MB)</span>,CT0030812,,Colebrook,<a href='https://www.epa.gov/system/files/documents/2024-06/draftct0030812permit-2024.pdf'>FirstLight CT Hydro LLC - Robertsville Generating Station (pdf)</a> <span class='document__meta'>(1.4 MB)</span>,FirstLight CT Hydro LLC - Robertsville Generating Station (pdf) (1.4 MB),['https://www.epa.gov/system/files/documents/2024-06/draftct0030812permit-2024.pdf'],draft,ct,,Colebrook,06/13/2024 - 07/13/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-05/draftctcafo006permit-2024.pdf'>Laurelbrook Farm, LLC (pdf)</a> <span class='document__meta'>(1.4 MB)</span>",CTCAFO006,,East Canaan,"<a href='https://www.epa.gov/system/files/documents/2024-05/draftctcafo006permit-2024.pdf'>Laurelbrook Farm, LLC (pdf)</a> <span class='document__meta'>(1.4 MB)</span>","Laurelbrook Farm, LLC (pdf) (1.4 MB)",['https://www.epa.gov/system/files/documents/2024-05/draftctcafo006permit-2024.pdf'],draft,ct,,East Canaan,05/03/2024 - 06/03/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-04/draftui0000263permit-2024.pdf'>FedEx Ground Package System, Inc. (pdf)</a> <span class='document__meta'>(1.5 MB)</span>",UI0000263,,Willington,"<a href='https://www.epa.gov/system/files/documents/2024-04/draftui0000263permit-2024.pdf'>FedEx Ground Package System, Inc. (pdf)</a> <span class='document__meta'>(1.5 MB)</span>","FedEx Ground Package System, Inc. (pdf) (1.5 MB)",['https://www.epa.gov/system/files/documents/2024-04/draftui0000263permit-2024.pdf'],draft,ct,,Willington,04/17/2024 - 05/17/2024
,"<a href='https://www.epa.gov/system/files/documents/2024-04/draftui0000347permit-2024_0.pdf'>Valley Shore YMCA, Inc. (pdf)</a> <span class='document__meta'>(1.3 MB)</span>",UI0000347,,Westbrook,"<a href='https://www.epa.gov/system/files/documents/2024-04/draftui0000347permit-2024_0.pdf'>Valley Shore YMCA, Inc. (pdf)</a> <span class='document__meta'>(1.3 MB)</span>","Valley Shore YMCA, Inc. (pdf) (1.3 MB)",['https://www.epa.gov/system/files/documents/2024-04/draftui0000347permit-2024_0.pdf'],draft,ct,,Westbrook,04/11/2024 - 05/11/2024
